LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
cre_book2.c | 7 | set_name("Command Summary");
cre_book2.c | 8 | add_alias( ({"book", "command book", "summary", "command summary"})  );
cre_book2.c | 9 | add_adjective( ({ "small", "black", "small black", "command" }) );
cre_book2.c | 12 | set_read_mess( "The Creator's Command Quick Reference." );
cre_book2.c | 13 | set_no_pages(8);
cre_book2.c | 14 | set_main_plural("small black books");
cre_book2.c | 15 | add_plural("command summaries");
cre_book2.c | 16 | add_plural("books");
cre_book2.c | 17 | set_weight(11);
cre_book2.c | 18 | add_property("no recycling", 1);
cre_book2.c | 20 | set_open_page( 1 );
cre_book2.c | 47 | set_open_page( 2 );
cre_book2.c | 57 | set_open_page( 3 );
cre_book2.c | 72 | adjust_max_deaths(1) lagger%^RESET%^.\n" , 0, "common", 1);
cre_book2.c | 73 | set_open_page( 4 );
cre_book2.c | 101 | set_open_page( 5 );
cre_book2.c | 127 | set_open_page( 6 );
cre_book2.c | 142 | set_open_page( 7 );
cre_book2.c | 165 | set_open_page( 8 );
cre_book2.c | 183 | set_open_page( 9 );
cre_book2.c | 184 | set_open_page( 0 );
departures.c | 25 | squish(string cmd);
departures.c | 28 | set_co_ord(({0,0,-1000}));
departures.c | 29 | set_light(100);
departures.c | 30 | set_short("Discworld departure lounge");
departures.c | 40 | add_item("great a'tuin", "A big turtle.  Like real big.\n");
departures.c | 41 | add_item("elephant", "Like an elephant only bigger.\n");
departures.c | 45 | add_item("other world", "They are a bit too far away to see.\n");
departures.c | 46 | add_item("reality", "But who is to say what is real anyway?\n");
departures.c | 54 | add_property( "no teleport", 1 );
departures.c | 55 | set_keep_room_loaded(1);
departures.c | 61 | init();
departures.c | 65 | this_player()->command_override((: squish :));
departures.c | 74 | write( "Fat chance, bozo.\n" );
departures.c | 88 | move(CONFIG_START_LOCATION);
departures.c | 96 | call_out( "destroy_thing", 60, thing );
departures.c | 110 | move("/room/rubbish");
transport_start.c | 16 | set_short("transport start");
transport_start.c | 24 | environment( place ) );
transport_start.c | 26 | find_start_pos( player, environment( place ) ), 180 );
transport_start.c | 34 | query_property( TRANSPORT_LOCATION );
transport_start.c | 35 | tell_creator("goldenthread", "location: %s\n", location );
transport_start.c | 38 | query_start_pos();
transport_start.c | 40 | tell_creator( "goldenthread", "final location: %s\n", location );
transport_start.c | 41 | move( location );
void.c | 7 | set_short( "convention in the void" );
void.c | 8 | add_property( "determinate", "the " );
void.c | 9 | add_property( "no teleport", 1 );
void.c | 10 | set_light( 100 );
void.c | 17 | add_item( "igloo", "The igloo is nice and warm despite the icy decor." );
void.c | 20 | add_item( "drink", "The drinks come in a variety of colours and smells." );
void.c | 21 | add_item( "crowd", "The crowd consists mostly of iguanas." );
void.c | 22 | add_item( "bowl", "The bowl holds the soup.  It is green and hums." );
void.c | 23 | add_item( "soup", "The soup is pink and comfortable-looking." );
void.c | 24 | add_item( "wombat", "Perhaps you should tell the wombat to use a spoon." );
void.c | 27 | add_exit("out", CONFIG_START_LOCATION, "road");
void.c | 32 | clone_object( "/obj/misc/button" );
void.c | 33 | move( this_object() );
void.c | 50 | write( "I don't think so.\n" );
void.c | 58 | init();
void.c | 62 | this_player()->command_override((: squish :));
broken.c | 21 | after_reset();
broken.c | 22 | dest_me();
broken.c | 23 | reset();
broken.c | 24 | setup();
broken.c | 34 | clone_object( "/obj/misc/button" );
broken.c | 35 | move( this_object() );
broken.c | 42 | if ( button )  button->dest_me();
broken.c | 44 | dest_me();
broken.c | 50 | call_out( "after_reset" , 1 );
broken.c | 54 | set_light(100);
broken.c | 55 | set_short("Graveyard");
broken.c | 63 | init();
vault.c | 13 | set_short( "vault room" );
vault.c | 14 | set_long( "This is the vault for money.\n" );
vault.c | 15 | set_keep_room_loaded(1);
vault.c | 23 | long(word, dark);
vault.c | 30 | if(sizeof(list) >
vault.c | 31 | move("/room/rubbish");
vault.c | 44 | tell_creator(DEBUGGER, "Saving %O\n", ob);
vault.c | 47 | if (member_array(ob, list) >
vault.c | 51 | this_player()->query_current_cmd());
vault.c | 59 | reset_effects();
vault.c | 60 | force_no_join();
vault.c | 61 | move(this_object());
vault.c | 62 | set_already_joined();
vault.c | 63 | remove_property("dropped");
vault.c | 68 | environment(ob), environment(ob)->short());
vault.c | 72 | tell_creator(DEBUGGER, "list is now %O\n", list);
vault.c | 80 | clone_object(MONEY_OBJECT);
vault.c | 87 | tell_creator(DEBUGGER, "Re-using %O\n", ob);
vault.c | 89 | set_money_array(({ }));
vault.c | 90 | reset_already_joined();
vault.c | 91 | reset_no_join();
vault.c | 95 | log_file("MONEY_RECYCLE", ctime(time()) + "Found NULL entry in object list\n");
vault.c | 99 | tell_creator(DEBUGGER, "list is now %O\n", list);
vault.c | 103 | clone_object(MONEY_OBJECT);
rubbish.c | 7 | set_short( "rubbish room" );
rubbish.c | 10 | set_keep_room_loaded(1);
rubbish.c | 12 | set_heart_beat(1);
rubbish.c | 20 | long(word, dark);
rubbish.c | 36 | time();
rubbish.c | 39 | map_delete(delete_list, ob);
rubbish.c | 40 | destruct(ob);
rubbish.c | 41 | reset_eval_cost();
rubbish.c | 54 | set_heart_beat(1);
rubbish.c | 56 | interactive( $1 ) :) );
rubbish.c | 58 | map(inventory, (: $1 && destruct($1) :));
rubbish.c | 68 | keys(delete_list);
