LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
cre_book2.c | 10 | if
cre_book2.c | 151 | if
departures.c | 17 | if
departures.c | 62 | if
departures.c | 69 | if
departures.c | 76 | else
departures.c | 81 | if
departures.c | 85 | if
departures.c | 93 | if
departures.c | 102 | if
departures.c | 106 | if
transport_start.c | 36 | if
void.c | 31 | if
void.c | 38 | if
void.c | 52 | else
void.c | 60 | if
broken.c | 32 | if
broken.c | 42 | if
vault.c | 20 | if
vault.c | 30 | if
vault.c | 34 | if
vault.c | 43 | if
vault.c | 47 | if
vault.c | 55 | if
vault.c | 66 | else
vault.c | 71 | if
vault.c | 82 | if
vault.c | 84 | if
vault.c | 86 | if
vault.c | 94 | else
vault.c | 98 | if
vault.c | 102 | if
rubbish.c | 17 | if
rubbish.c | 35 | if
rubbish.c | 37 | else
rubbish.c | 37 | if
virtual.c | 16 | if
virtual.c | 20 | if
jail.c | 25 | if
jail.c | 32 | if
jail.c | 36 | if
jail.c | 39 | else
air.c | 34 | if
air.c | 36 | else
air.c | 45 | if
air.c | 51 | if
air.c | 54 | if
air.c | 72 | if
air.c | 77 | if
air.c | 85 | if
air.c | 88 | else
air.c | 97 | if
air.c | 98 | if
air.c | 98 | if
air.c | 100 | if
air.c | 106 | else
air.c | 110 | else
air.c | 110 | if
air.c | 112 | if
air.c | 117 | if
air.c | 119 | else
air.c | 121 | else
air.c | 127 | if
air.c | 129 | if
air.c | 131 | else
air.c | 140 | if
air.c | 178 | if
air.c | 187 | if
air.c | 193 | if
air.c | 211 | case
air.c | 214 | if
air.c | 215 | if
air.c | 217 | if
air.c | 218 | if
air_terrain.c | 21 | switch
air_terrain.c | 22 | case
air_terrain.c | 26 | case
air_terrain.c | 29 | default
air_terrain.c | 38 | if
air_terrain.c | 54 | if
air_terrain.c | 64 | if
skills.c | 45 | if
skills.c | 48 | if
skills.c | 69 | if
skills.c | 169 | if
skills.c | 172 | if
skills.c | 175 | if
skills.c | 212 | if
skills.c | 214 | else
skills.c | 221 | if
skills.c | 229 | if
skills.c | 275 | if
skills.c | 299 | if
skills.c | 312 | if
skills.c | 318 | if
skills.c | 320 | else
skills.c | 336 | if
skills.c | 354 | if
skills.c | 356 | else
skills.c | 371 | if
skills.c | 384 | if
skills.c | 401 | if
skills.c | 408 | if
skills.c | 413 | if
skills.c | 417 | if
skills.c | 424 | if
skills.c | 428 | if
skills.c | 428 | if
skills.c | 438 | if
skills.c | 441 | if
skills.c | 441 | if
