LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
departures.c | 74 | write(
departures.c | 86 | write(
departures.c | 96 | call_out(
void.c | 50 | write(
broken.c | 50 | call_out(
jail.c | 37 | write(
air.c | 101 | call_out(
air.c | 102 | tell_object(
air.c | 142 | call_out(
air.c | 154 | call_out(
air.c | 164 | tell_object(
air.c | 194 | write(
air.c | 201 | write(
air_terrain.c | 41 | call_out(
air_terrain.c | 71 | tell_object(
air_terrain.c | 80 | tell_object(
delivery.c | 92 | call_out(
delivery.c | 220 | call_out(
delivery.c | 257 | tell_object(
map.c | 171 | write(
race.c | 155 | catch(
mineral.c | 14 | write(
mineral.c | 122 | write(
mineral.c | 169 | write(
mineral.c | 173 | write(
mineral.c | 178 | write(
mineral.c | 183 | write(
smart_log.c | 17 | catch(
smart_log.c | 32 | seteuid(
smart_log.c | 72 | catch(
smart_log.c | 94 | catch(
lightable.c | 68 | tell_object(
lightable.c | 119 | call_out(
lightable.c | 136 | tell_object(
learning.c | 233 | call_out(
learning.c | 282 | tell_object(
learning.c | 309 | tell_object(
learning.c | 313 | tell_object(
learning.c | 323 | call_out(
learning.c | 326 | call_out(
learning.c | 332 | tell_object(
learning.c | 347 | tell_object(
book.c | 520 | write(
book.c | 524 | write(
book.c | 538 | call_out(
book.c | 569 | call_out(
book.c | 585 | call_out(
hospital.c | 158 | seteuid(
hospital.c | 359 | call_out(
hospital.c | 515 | call_out(
hospital.c | 1045 | catch(
hospital.c | 1431 | write(
weapon_logic.c | 92 | write(
container.c | 210 | write(
container.c | 384 | catch(
scroll.c | 62 | write(
scroll.c | 72 | write(
object.c | 39 | seteuid(
bit.c | 255 | tell_object(
bit.c | 486 | tell_object(
bit.c | 489 | tell_object(
bit.c | 514 | tell_object(
bit.c | 517 | tell_object(
wearable.c | 82 | write(
wearable.c | 84 | write(
wearable.c | 341 | write(
wearable.c | 343 | call_out(
wearable.c | 397 | tell_object(
wearable.c | 479 | call_out(
club_listing.c | 74 | write(
club_listing.c | 85 | write(
club_listing.c | 89 | write(
club_listing.c | 162 | write(
club_listing.c | 164 | write(
club_listing.c | 361 | write(
club_listing.c | 493 | write(
item_chat.c | 110 | write(
cute_look.c | 245 | write(
trap.c | 146 | write(
trap.c | 152 | write(
trap.c | 155 | write(
misc.c | 35 | call_out(
surface.c | 69 | call_out(
holdable.c | 52 | call_out(
holdable.c | 238 | tell_object(
holdable.c | 247 | tell_object(
scroll_book_react.c | 84 | tell_object(
scroll_book_react.c | 94 | write(
scroll_book_react.c | 100 | tell_object(
scroll_book_react.c | 110 | tell_object(
print_object.c | 27 | write(
print_object.c | 29 | write(
print_object.c | 33 | write(
print_object.c | 37 | write(
print_object.c | 39 | write(
print_object.c | 41 | write(
print_object.c | 43 | write(
print_object.c | 48 | write(
print_object.c | 50 | write(
print_object.c | 53 | write(
close_lock.c | 578 | write(
version.c | 18 | write(
virtual_update.c | 63 | call_out(
artifact.c | 44 | call_out(
effects.c | 191 | catch(
effects.c | 214 | catch(
effects.c | 237 | catch(
effects.c | 255 | call_out(
effects.c | 262 | call_out(
effects.c | 423 | error(
effects.c | 459 | error(
effects.c | 680 | error(
effects.c | 711 | error(
effects.c | 821 | catch(
effects.c | 836 | catch(
effects.c | 844 | catch(
effects.c | 878 | catch(
effects.c | 949 | catch(
effects.c | 1077 | tell_object(
effects.c | 1103 | tell_object(
effects.c | 1164 | catch(
effects.c | 1196 | catch(
condition.c | 35 | tell_object(
scroll_base.c | 134 | write(
club_insignia.c | 98 | call_out(
club_insignia.c | 98 | tell_object(
club_insignia.c | 110 | call_out(
club_insignia.c | 110 | tell_object(
club_insignia.c | 125 | call_out(
club_insignia.c | 231 | call_out(
club_insignia.c | 232 | tell_object(
club_insignia.c | 335 | write(
club_insignia.c | 339 | write(
club_insignia.c | 495 | tell_object(
club_insignia.c | 583 | write(
club_insignia.c | 632 | write(
club_insignia.c | 635 | write(
club_insignia.c | 652 | write(
club_insignia.c | 684 | write(
club_insignia.c | 709 | write(
club_insignia.c | 743 | write(
club_insignia.c | 751 | write(
club_insignia.c | 754 | call_out(
club_insignia.c | 756 | write(
club_insignia.c | 763 | write(
club_insignia.c | 766 | write(
club_insignia.c | 771 | write(
club_insignia.c | 773 | write(
club_insignia.c | 776 | write(
club_insignia.c | 820 | write(
club_insignia.c | 837 | write(
club_insignia.c | 843 | write(
club_insignia.c | 846 | write(
club_insignia.c | 850 | write(
club_insignia.c | 851 | write(
club_insignia.c | 869 | write(
club_insignia.c | 898 | call_out(
club_discuss.c | 193 | write(
club_discuss.c | 210 | write(
club_discuss.c | 229 | write(
club_discuss.c | 408 | write(
club_discuss.c | 438 | write(
telnet.c | 138 | write(
telnet.c | 148 | write(
telnet.c | 173 | write(
accent_base.c | 31 | tell_object(
ken_curse.c | 23 | seteuid(
shout_curse.c | 23 | seteuid(
shout_curse.c | 66 | write(
shout_curse.c | 71 | write(
newbie_curse.c | 30 | seteuid(
chef_curse.c | 23 | seteuid(
upper_case.c | 25 | seteuid(
sign_writer.c | 107 | save_object(
sign_writer.c | 117 | restore_object(
sign_writer.c | 222 | write(
sign_writer.c | 241 | write(
sign_writer.c | 247 | write(
sign_writer.c | 256 | write(
sign_writer.c | 264 | write(
sign_writer.c | 272 | write(
sign_writer.c | 276 | write(
