LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
playerinfo2.c | 2 | for
playerinfo2.c | 43 | for
cre_book2.c | 34 | for
cre_book2.c | 62 | do
cre_book2.c | 69 | for
cre_book2.c | 111 | for
cre_book2.c | 122 | for
cre_book2.c | 131 | while
cre_book2.c | 137 | for
cre_book2.c | 147 | do
cre_book2.c | 168 | do
departures.c | 13 | for
vault.c | 14 | for
vault.c | 79 | do
rubbish.c | 34 | foreach
jail.c | 16 | do
air.c | 5 | for
air.c | 104 | for
air.c | 185 | for
air.c | 191 | do
air.c | 202 | do
air.c | 202 | while
garden.c | 18 | do
air_terrain.c | 62 | for
skills.c | 43 | for
skills.c | 210 | while
skills.c | 250 | for
skills.c | 286 | for
skills.c | 302 | for
skills.c | 316 | for
skills.c | 339 | for
skills.c | 352 | while
skills.c | 407 | for
skills.c | 425 | for
skills.c | 479 | for
skills.c | 488 | for
delivery.c | 13 | while
delivery.c | 20 | for
delivery.c | 24 | for
delivery.c | 103 | for
delivery.c | 154 | for
delivery.c | 194 | for
delivery.c | 204 | for
delivery.c | 323 | foreach
delivery.c | 349 | foreach
delivery.c | 388 | for
delivery.c | 399 | do
delivery.c | 403 | for
delivery.c | 498 | for
delivery.c | 529 | foreach
delivery.c | 531 | for
armour_logic.c | 13 | for
armour_logic.c | 71 | for
armour_logic.c | 86 | for
armour_logic.c | 126 | for
armour_logic.c | 137 | for
map.c | 143 | do
map.c | 147 | foreach
race.c | 150 | foreach
race.c | 154 | foreach
race.c | 161 | for
race.c | 272 | do
race.c | 274 | do
race.c | 275 | do
race.c | 276 | for
race.c | 277 | for
mineral.c | 14 | for
mineral.c | 149 | for
mineral.c | 151 | for
smart_log.c | 76 | for
lightable.c | 3 | for
lightable.c | 100 | for
lightable.c | 100 | for
lightable.c | 101 | for
lightable.c | 101 | for
lightable.c | 119 | for
lightable.c | 192 | for
lightable.c | 271 | for
lightable.c | 320 | for
learning.c | 1 | for
learning.c | 47 | for
learning.c | 76 | for
learning.c | 83 | for
learning.c | 141 | foreach
learning.c | 152 | foreach
learning.c | 166 | for
learning.c | 176 | foreach
learning.c | 182 | for
learning.c | 203 | for
learning.c | 232 | for
learning.c | 258 | for
learning.c | 278 | foreach
learning.c | 343 | foreach
book.c | 131 | do
book.c | 175 | for
book.c | 288 | for
book.c | 303 | for
book.c | 331 | for
book.c | 359 | for
book.c | 487 | for
book.c | 610 | do
book.c | 616 | for
book.c | 637 | for
book.c | 699 | for
book.c | 758 | for
book.c | 794 | for
book.c | 795 | for
hospital.c | 3 | for
hospital.c | 89 | for
hospital.c | 90 | for
hospital.c | 248 | while
hospital.c | 262 | for
hospital.c | 288 | foreach
hospital.c | 297 | foreach
hospital.c | 326 | for
hospital.c | 327 | while
hospital.c | 351 | for
hospital.c | 352 | for
hospital.c | 355 | for
hospital.c | 363 | for
hospital.c | 373 | for
hospital.c | 373 | for
hospital.c | 376 | for
hospital.c | 404 | for
hospital.c | 460 | for
hospital.c | 506 | for
hospital.c | 522 | for
hospital.c | 534 | for
hospital.c | 544 | for
hospital.c | 598 | for
hospital.c | 599 | for
hospital.c | 622 | foreach
hospital.c | 624 | for
hospital.c | 625 | for
hospital.c | 634 | foreach
hospital.c | 636 | for
hospital.c | 637 | for
hospital.c | 646 | foreach
hospital.c | 648 | for
hospital.c | 649 | for
hospital.c | 675 | for
hospital.c | 676 | for
hospital.c | 681 | for
hospital.c | 686 | for
hospital.c | 753 | for
hospital.c | 754 | for
hospital.c | 769 | foreach
hospital.c | 772 | for
hospital.c | 773 | for
hospital.c | 816 | foreach
hospital.c | 819 | foreach
hospital.c | 824 | foreach
hospital.c | 829 | foreach
hospital.c | 853 | for
hospital.c | 866 | while
hospital.c | 903 | for
hospital.c | 966 | for
hospital.c | 1013 | do
hospital.c | 1031 | for
hospital.c | 1103 | foreach
hospital.c | 1106 | foreach
hospital.c | 1115 | for
hospital.c | 1141 | foreach
hospital.c | 1143 | for
hospital.c | 1152 | foreach
hospital.c | 1167 | foreach
hospital.c | 1168 | foreach
hospital.c | 1185 | for
hospital.c | 1186 | for
hospital.c | 1200 | for
hospital.c | 1207 | for
hospital.c | 1208 | for
hospital.c | 1221 | do
hospital.c | 1244 | for
hospital.c | 1294 | foreach
hospital.c | 1310 | foreach
hospital.c | 1321 | foreach
hospital.c | 1331 | for
hospital.c | 1348 | for
hospital.c | 1391 | foreach
hospital.c | 1412 | foreach
hospital.c | 1423 | foreach
hospital.c | 1426 | foreach
hospital.c | 1474 | foreach
hospital.c | 1479 | foreach
hospital.c | 1493 | foreach
hospital.c | 1498 | foreach
weapon_logic.c | 2 | for
weapon_logic.c | 31 | for
weapon_logic.c | 64 | for
weapon_logic.c | 81 | do
weapon_logic.c | 134 | for
weapon_logic.c | 151 | for
weapon_logic.c | 155 | for
weapon_logic.c | 197 | for
weapon_logic.c | 214 | for
container.c | 93 | foreach
container.c | 140 | for
container.c | 148 | for
container.c | 227 | for
container.c | 243 | for
container.c | 305 | for
container.c | 314 | do
container.c | 344 | do
container.c | 511 | while
container.c | 585 | foreach
effect_shadow.c | 22 | for
leaflet.c | 36 | for
book_dir.c | 25 | for
book_dir.c | 26 | for
book_dir.c | 51 | while
object.c | 85 | for
object.c | 105 | for
object.c | 150 | for
object.c | 157 | foreach
object.c | 163 | foreach
object.c | 222 | for
object.c | 223 | for
object.c | 496 | foreach
key.c | 41 | for
bit.c | 53 | foreach
bit.c | 238 | do
bit.c | 280 | for
bit.c | 373 | for
bit.c | 378 | for
bit.c | 401 | for
bit.c | 406 | for
bit.c | 475 | foreach
bit.c | 502 | foreach
bit.c | 552 | for
bit.c | 574 | foreach
bit.c | 596 | foreach
bit.c | 598 | for
bit.c | 614 | for
bit.c | 630 | for
bit.c | 632 | for
bit.c | 643 | for
bit.c | 654 | for
bit.c | 655 | for
export_inventory.c | 2 | for
export_inventory.c | 49 | do
export_inventory.c | 49 | do
export_inventory.c | 50 | for
export_inventory.c | 51 | for
export_inventory.c | 101 | foreach
setup.c | 2 | for
wearable.c | 51 | for
wearable.c | 61 | for
wearable.c | 63 | for
wearable.c | 157 | for
wearable.c | 168 | for
wearable.c | 208 | for
wearable.c | 279 | for
wearable.c | 300 | for
wearable.c | 313 | for
wearable.c | 352 | for
wearable.c | 370 | for
wearable.c | 417 | for
wearable.c | 421 | for
property.c | 8 | do
property.c | 32 | for
property.c | 228 | foreach
property.c | 242 | foreach
property.c | 263 | for
property.c | 330 | foreach
club_listing.c | 2 | for
club_listing.c | 102 | for
club_listing.c | 130 | foreach
club_listing.c | 237 | foreach
club_listing.c | 252 | for
club_listing.c | 257 | foreach
club_listing.c | 261 | foreach
club_listing.c | 278 | for
club_listing.c | 293 | for
club_listing.c | 295 | for
club_listing.c | 297 | foreach
club_listing.c | 370 | for
club_listing.c | 400 | for
club_listing.c | 440 | foreach
club_listing.c | 452 | for
club_listing.c | 539 | foreach
club_listing.c | 651 | foreach
club_listing.c | 666 | for
club_listing.c | 672 | foreach
club_listing.c | 677 | foreach
club_listing.c | 692 | for
club_listing.c | 707 | for
club_listing.c | 708 | foreach
club_listing.c | 775 | foreach
club_listing.c | 788 | for
expressions.c | 94 | do
expressions.c | 579 | while
expressions.c | 593 | while
expressions.c | 603 | while
expressions.c | 615 | while
expressions.c | 623 | do
expressions.c | 630 | while
expressions.c | 635 | do
expressions.c | 642 | while
expressions.c | 655 | while
expressions.c | 683 | while
expressions.c | 711 | do
expressions.c | 746 | while
expressions.c | 756 | for
expressions.c | 785 | do
expressions.c | 818 | while
expressions.c | 849 | while
expressions.c | 859 | do
expressions.c | 994 | for
expressions.c | 1560 | while
expressions.c | 1563 | for
expressions.c | 1640 | for
expressions.c | 1690 | for
expressions.c | 1744 | for
expressions.c | 1921 | for
expressions.c | 1953 | foreach
expressions.c | 2082 | for
item_chat.c | 66 | for
cute_look.c | 3 | for
cute_look.c | 11 | for
cute_look.c | 14 | for
cute_look.c | 43 | do
cute_look.c | 44 | do
cute_look.c | 48 | for
cute_look.c | 115 | foreach
cute_look.c | 129 | foreach
cute_look.c | 136 | foreach
cute_look.c | 213 | foreach
cute_look.c | 216 | foreach
cute_look.c | 220 | do
id.c | 112 | for
id.c | 113 | for
id.c | 114 | for
id.c | 116 | for
id.c | 207 | foreach
id.c | 282 | do
id.c | 289 | foreach
id.c | 323 | foreach
id.c | 392 | for
id.c | 413 | for
id.c | 426 | for
id.c | 437 | for
id.c | 446 | for
id.c | 464 | for
id.c | 492 | foreach
id.c | 504 | foreach
id.c | 527 | foreach
id.c | 598 | for
id.c | 611 | for
id.c | 625 | for
id.c | 633 | for
id.c | 651 | for
trap.c | 8 | for
trap.c | 39 | for
trap.c | 41 | for
trap.c | 79 | for
trap.c | 96 | for
trap.c | 119 | for
trap.c | 119 | for
misc.c | 23 | for
misc.c | 192 | for
misc.c | 225 | for
misc.c | 239 | for
misc.c | 269 | for
misc.c | 302 | for
misc.c | 331 | for
misc.c | 345 | for
misc.c | 430 | for
misc.c | 436 | for
auto_load.c | 34 | for
move.c | 19 | do
move.c | 153 | for
move.c | 171 | do
hide_invis.c | 140 | for
hide_invis.c | 184 | for
read_desc.c | 8 | for
read_desc.c | 91 | for
read_desc.c | 156 | for
read_desc.c | 168 | for
read_desc.c | 186 | for
read_desc.c | 209 | foreach
read_desc.c | 236 | while
read_desc.c | 270 | for
read_desc.c | 271 | for
help_files.c | 12 | for
help_files.c | 45 | for
help_files.c | 53 | for
help_files.c | 90 | for
help_files.c | 100 | foreach
help_files.c | 121 | foreach
surface.c | 56 | for
surface.c | 87 | for
holdable.c | 4 | do
holdable.c | 172 | for
holdable.c | 226 | for
extra_look.c | 53 | for
extra_look.c | 103 | for
scroll_book_react.c | 7 | for
scroll_book_react.c | 40 | while
scroll_book_react.c | 53 | foreach
scroll_book_react.c | 58 | do
scroll_book_react.c | 68 | while
print_object.c | 12 | for
print_object.c | 20 | for
print_object.c | 51 | for
close_lock.c | 96 | do
close_lock.c | 209 | for
close_lock.c | 209 | for
