LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
rubbish.c | 11 | ([ ])
skills.c | 36 | ([ ])
skills.c | 37 | ([ ])
skills.c | 38 | ([ ])
skills.c | 39 | ([ ])
skills.c | 40 | ([ ])
skills.c | 72 | ([ "other" : 1 ])
skills.c | 73 | ([ "crafts" : 1 ])
skills.c | 315 | ([ ])
delivery.c | 81 | ([ ])
delivery.c | 137 | ([ ])
armour_logic.c | 9 | ([ ])
armour_logic.c | 20 | ([ ])
map.c | 24 | ([ ])
race.c | 148 | ([ ])
race.c | 153 | ([ ])
race.c | 294 | ([ ])
mineral.c | 212 | ([ ])
learning.c | 56 | ([ ])
learning.c | 102 | ([ ])
hospital.c | 166 | ([ ])
hospital.c | 170 | ([ ])
hospital.c | 174 | ([ ])
hospital.c | 178 | ([ ])
hospital.c | 182 | ([ ])
hospital.c | 186 | ([ ])
hospital.c | 190 | ([ ])
hospital.c | 194 | ([ ])
hospital.c | 285 | ([ ])
hospital.c | 294 | ([ ])
hospital.c | 303 | ([ ])
hospital.c | 307 | ([ ])
hospital.c | 311 | ([ ])
hospital.c | 315 | ([ ])
hospital.c | 620 | ([ ])
hospital.c | 620 | ([ ])
hospital.c | 620 | ([ ])
hospital.c | 766 | ([ ])
hospital.c | 767 | ([ ])
hospital.c | 856 | ([ ])
hospital.c | 860 | ([ ])
hospital.c | 861 | ([ ])
hospital.c | 862 | ([ ])
hospital.c | 1064 | ([ ])
hospital.c | 1483 | ([ file_name( this_object() ) : tmp, "npcs" : tmp2 ])
weapon_logic.c | 17 | ([ ])
container.c | 579 | ([ ])
leaflet.c | 80 | ([ ])
object.c | 278 | ([ ])
object.c | 294 | ([ ])
key.c | 54 | ([ ])
property.c | 27 | ([ ])
property.c | 47 | ([ ])
property.c | 53 | ([ ])
property.c | 58 | ([ ])
property.c | 98 | ([ ])
property.c | 189 | ([ ])
property.c | 199 | ([ ])
property.c | 328 | ([ ])
expressions.c | 85 | ([ ])
expressions.c | 86 | ([ ])
expressions.c | 88 | ([ ])
expressions.c | 90 | ([ ])
expressions.c | 478 | ([ ])
expressions.c | 1412 | ([ ])
expressions.c | 1449 | ([ ])
expressions.c | 1494 | ([ ])
expressions.c | 1639 | ([ ])
expressions.c | 1656 | ([ ])
cute_look.c | 111 | ([ ])
misc.c | 37 | ([ ])
misc.c | 298 | ([ ])
misc.c | 341 | ([ ])
misc.c | 428 | ([ ])
hide_invis.c | 6 | ([])
version.c | 8 | ([ ])
stat_adjustments.c | 13 | ([ ])
stat_adjustments.c | 54 | ([ ])
club_insignia.c | 417 | ([ ])
club_discuss.c | 447 | ([ ])
basic.c | 28 | ([ ])
ken_mangle.c | 53 | ([ ])
sign_writer.c | 34 | ([ ])
sign_writer.c | 35 | ([ ])
general_shop.c | 1367 | ([ ])
general_shop.c | 1421 | ([ ])
print_shop.c | 82 | ([ ])
print_shop.c | 88 | ([ ])
print_shop.c | 1041 | ([ ])
storeroom.c | 14 | ([ ])
storeroom.c | 15 | ([ ])
bureau_de_change.c | 73 | ([ ])
craft_shop_controller.c | 123 | ([ ])
craft_shop_controller.c | 422 | ([ ])
craft_shop_controller.c | 996 | ([ ])
craft_shop_controller.c | 1178 | ([ ])
craft_shop_controller.c | 1179 | ([ ])
player_craft_shop.c | 182 | ([ ])
