LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
void.c | 32 | clone_object( "/obj/misc/button" )
broken.c | 34 | clone_object( "/obj/misc/button" )
vault.c | 80 | clone_object(MONEY_OBJECT)
vault.c | 103 | clone_object(MONEY_OBJECT)
delivery.c | 91 | clone_object("/std/container")
delivery.c | 384 | clone_object("/std/container")
race.c | 285 | find_object(race_ob)
race.c | 296 | find_object(guild_ob)
mineral.c | 127 | clone_object( MINERAL )
mineral.c | 143 | clone_object( MINERAL )
mineral.c | 154 | clone_object( MINERAL )
book.c | 60 | find_object(_default_page_object)
book.c | 78 | find_object(_default_page_object)
book.c | 292 | find_object(_default_page_object)
book.c | 349 | find_object(_default_page_object)
book.c | 384 | clone_object(_default_page_object)
book.c | 753 | find_object(_default_page_object)
book.c | 779 | find_object(obj)
book.c | 781 | find_object(obj)
book.c | 799 | clone_object(_default_page_object)
hospital.c | 442 | new(class unique_npc)
hospital.c | 507 | find_object( new_npc->load_position )
hospital.c | 620 | new(class zone_info, npcs : ([ ])
hospital.c | 696 | new(class npc_info, move_zones : ({ })
hospital.c | 766 | new(class group_info, npcs : ([ ])
hospital.c | 1042 | find_object( npc_path(info->path)
hospital.c | 1073 | clone_object( npc_path(info->path)
hospital.c | 1084 | clone_object( npc_path(info->path)
container.c | 321 | clone_object(PLAYER_RECEIPT)
object.c | 462 | clone_object( "/std/shadows/object/special_item" )
bit.c | 536 | clone_object( bit[2][2] )
bit.c | 538 | clone_object("/std/bit")
bit.c | 540 | clone_object("/std/bit")
expressions.c | 127 | new(class variable_thing)
expressions.c | 144 | new(class function_thing)
expressions.c | 451 | new(class parse_node)
expressions.c | 1641 | new(class func_variable_thing)
expressions.c | 1670 | new(class user_function_thing)
id.c | 40 | new( class Id )
misc.c | 377 | find_object(dest)
move.c | 80 | find_object( dest )
move.c | 96 | find_object("/room/virtual")
move.c | 112 | find_object("/room/rubbish")
move.c | 112 | find_object("/room/virtual")
surface.c | 40 | clone_object( SURFACE_SHADOW )
extra_look.c | 81 | find_object((string)
virtual_update.c | 24 | clone_object("/obj/misc/al_receipt")
effects.c | 92 | new(class effect_data)
effects.c | 678 | find_object(eff)
effects.c | 709 | clone_object(shad)
effects.c | 712 | new(class effect_shadow, shad_ob : 0, idnum : _data->next_id)
effects.c | 714 | new(class effect_shadow, shad_ob : ob, idnum : _data->next_id)
effects.c | 718 | new(class effect_shadow, shad_ob : 0, idnum : _data->next_id)
