LPC Code Structure Analysis Log
Generated: 2025-03-08 06:17:50

File | Line | Snippet
--------------------------------------------------------------------------------
playerinfo2.c | 44 | "/obj/handlers/playerinfo"
playerinfo2.c | 46 | "verbose playerinfo"
cre_book2.c | 1 | "/std/book"
cre_book2.c | 7 | "Command Summary"
cre_book2.c | 8 | "book"
cre_book2.c | 8 | "command book"
cre_book2.c | 8 | "summary"
cre_book2.c | 8 | "command summary"
cre_book2.c | 9 | "small"
cre_book2.c | 9 | "black"
cre_book2.c | 9 | "small black"
cre_book2.c | 9 | "command"
cre_book2.c | 10 | "This is a pocket size black book, which looks as if it "
cre_book2.c | 11 | "has just been printed.\n"
cre_book2.c | 12 | "The Creator's Command Quick Reference."
cre_book2.c | 14 | "small black books"
cre_book2.c | 15 | "command summaries"
cre_book2.c | 16 | "books"
cre_book2.c | 18 | "no recycling"
cre_book2.c | 21 | "This book contains some information on basic calls that "
cre_book2.c | 22 | "most Creators should be aware of.\n"
cre_book2.c | 23 | "\n"
cre_book2.c | 24 | "                        Index.\n"
cre_book2.c | 25 | "\n"
cre_book2.c | 26 | "%^GREEN%^Show a help file to a player%^RESET%^...................2\n"
cre_book2.c | 27 | "%^GREEN%^Resurrect a player%^RESET%^.............................3\n"
cre_book2.c | 28 | "%^GREEN%^Replace a life%^RESET%^.................................3\n"
cre_book2.c | 29 | "%^GREEN%^Locate a player%^RESET%^................................4\n"
cre_book2.c | 30 | "%^GREEN%^Travel to a player%^RESET%^.............................4\n"
cre_book2.c | 31 | "%^GREEN%^Travel to a room%^RESET%^...............................4\n"
cre_book2.c | 32 | "%^GREEN%^Bring a player to you%^RESET%^..........................4\n"
cre_book2.c | 33 | "%^GREEN%^Check a player's inventory%^RESET%^.....................5\n"
cre_book2.c | 34 | "%^GREEN%^Replace a receipt for a player%^RESET%^.................5\n"
cre_book2.c | 35 | "%^GREEN%^Replace other items%^RESET%^............................5\n"
cre_book2.c | 36 | "%^GREEN%^Remove an item or receipt from player%^RESET%^..........5\n"
cre_book2.c | 37 | "%^GREEN%^Reproduce an item%^RESET%^..............................5\n"
cre_book2.c | 38 | "%^GREEN%^Find an item's path%^RESET%^............................5\n"
cre_book2.c | 39 | "%^GREEN%^See a player's list of quests%^RESET%^..................6\n"
cre_book2.c | 40 | "%^GREEN%^Grant a divorce%^RESET%^................................6\n"
cre_book2.c | 41 | "%^GREEN%^Reset a room or item%^RESET%^...........................7\n"
cre_book2.c | 42 | "%^GREEN%^Drop or move your Bulletin board%^RESET%^...............7\n"
cre_book2.c | 43 | "%^GREEN%^Talk or emote to all Creators%^RESET%^..................7\n"
cre_book2.c | 44 | "%^GREEN%^Changing your appearance, entry messages%^RESET%^.......8\n"
cre_book2.c | 45 | "common"
cre_book2.c | 48 | "\n%^GREEN%^How to show a helpfile to a player%^RESET%^\n"
cre_book2.c | 49 | "\n"
cre_book2.c | 50 | "Sometimes the best way to answer a player's questions is "
cre_book2.c | 51 | "simply to send her the helpfile.  "
cre_book2.c | 52 | "This is accomplished by giving the command:\n"
cre_book2.c | 53 | "%^CYAN%^showhelp <player> <helpfile>%^RESET%^.\n"
cre_book2.c | 54 | "An example of this would be:\n"
cre_book2.c | 55 | "%^CYAN%^showhelp arby liaison%^RESET%^.\n"
cre_book2.c | 56 | "common"
cre_book2.c | 58 | "\n%^GREEN%^How to resurrect a player\n"
cre_book2.c | 59 | "How to add a life to that max%^RESET%^\n"
cre_book2.c | 60 | "\n"
cre_book2.c | 61 | "When a player dies through a bug, it is sometimes necessary to "
cre_book2.c | 62 | "resurrect her.  The simplest way to do this is with Oblilix's "
cre_book2.c | 63 | "Resurrector, found in your bookcase.  However, the actual call "
cre_book2.c | 64 | "can also be used:\n"
cre_book2.c | 65 | "%^CYAN%^call remove_ghost() <player>%^RESET%^.\n"
cre_book2.c | 66 | "For example:\n"
cre_book2.c | 67 | "%^CYAN%^call remove_ghost() ycore%^RESET%^.\n"
cre_book2.c | 68 | "In some cases, you may also want to replace, or adjust, the "
cre_book2.c | 69 | "maximum number of lives a player has.  The call for this is:\n"
cre_book2.c | 70 | "%^CYAN%^call adjust_max_deaths(number) <player>%^RESET%^.\n"
cre_book2.c | 71 | "For example:\n"
cre_book2.c | 72 | "%^CYAN%^call adjust_max_deaths(1) lagger%^RESET%^.\n"
cre_book2.c | 72 | "common"
cre_book2.c | 74 | "\n%^GREEN%^How to locate a player\n"
cre_book2.c | 75 | "How to go to a player\n"
cre_book2.c | 76 | "How to go to a room\n"
cre_book2.c | 77 | "How to bring a player to you%^RESET%^\n"
cre_book2.c | 78 | "\n"
cre_book2.c | 79 | "There are two commands that allow you to simply locate a player:\n"
cre_book2.c | 80 | "%^CYAN%^whereis <player>%^RESET%^\n"
cre_book2.c | 81 | "will give you the location of the named player, and the command:\n"
cre_book2.c | 82 | "%^CYAN%^people%^RESET%^\n"
cre_book2.c | 83 | "on its own will list the names and locations of all players.\n"
cre_book2.c | 84 | "To go to a player, simply use:\n"
cre_book2.c | 85 | "%^CYAN%^goto <player>'%^RESET%^.\n"
cre_book2.c | 86 | "Going to a room is a bit more complex.  You need to first know the "
cre_book2.c | 87 | "path of the room.  This can be found by using:\n"
cre_book2.c | 88 | "%^CYAN%^cd%^RESET%^ (change directory) and %^CYAN%^ls%^RESET%^ "
cre_book2.c | 89 | "(list directory) and moving through the directory structure until you find "
cre_book2.c | 90 | "the desired room.  You can also find the path you want by asking "
cre_book2.c | 91 | "another cre, by noting convenient spots as you walk around, and "
cre_book2.c | 92 | "writing them down, etc.  Once you know the path, the command is:\n"
cre_book2.c | 93 | "%^CYAN%^goto <path>%^RESET%^.\n"
cre_book2.c | 94 | "The best way to bring a player to you is with Ceres' Transporter, "
cre_book2.c | 95 | "since this keeps a portal open to the player's previous location.  "
cre_book2.c | 96 | "Otherwise, you can use:\n"
cre_book2.c | 97 | "%^CYAN%^trans <player>%^RESET%^.\n"
cre_book2.c | 98 | "%^RED%^***%^RESET%^ Remember to note the player's original location so "
cre_book2.c | 99 | "you can go there, and trans her back. %^RED%^***%^RESET%^"
cre_book2.c | 100 | "common"
cre_book2.c | 102 | "\n%^GREEN%^How to check a player's inventory\n"
cre_book2.c | 103 | "How to replace a lost item with a receipt\n"
cre_book2.c | 104 | "How to replace other items\n"
cre_book2.c | 105 | "How to remove items or receipts from a player\n"
cre_book2.c | 106 | "Duplicating items\n"
cre_book2.c | 107 | "Finding an item's path%^RESET%^\n"
cre_book2.c | 108 | "\n"
cre_book2.c | 109 | "You can check a player's current inventory by typing:\n"
cre_book2.c | 110 | "%^CYAN%^inv <player>%^RESET%^.\n"
cre_book2.c | 111 | "To replace an item that the player has a receipt for, first:\n"
cre_book2.c | 112 | "%^CYAN%^stat <item> in <player>%^RESET%^.\n"
cre_book2.c | 113 | "This will give you all sorts of information on the item that is "
cre_book2.c | 114 | "missing.  What you want is the path.  After you note this, type: "
cre_book2.c | 115 | "%^CYAN%^clone <path>%^RESET%^,\n"
cre_book2.c | 116 | "then hand the item to the player.  To remove the receipt, or any other "
cre_book2.c | 117 | "items from the player's inventory:\n"
cre_book2.c | 118 | "%^CYAN%^dest <item> in <player>%^RESET%^.\n"
cre_book2.c | 119 | "%^RED%^***%^RESET%^ Be cautious when using dest.  Do NOT %^CYAN%^dest "
cre_book2.c | 120 | "0 in <player>%^RESET%^ as this will delete her entire inventory. "
cre_book2.c | 121 | "%^RED%^***%^RESET%^\n"
cre_book2.c | 122 | "Most of the other items that can be replaced for a player can be done "
cre_book2.c | 123 | "using Presto's Wand. "
cre_book2.c | 124 | "To copy an item that a player already has one of, use:\n"
cre_book2.c | 125 | "%^CYAN%^duplicate <item> in <player>%^RESET%^.\n"
cre_book2.c | 126 | "common"
cre_book2.c | 128 | "\n%^GREEN%^How to list the quests a player has done\n"
cre_book2.c | 129 | "How to grant a divorce%^RESET%^\n"
cre_book2.c | 130 | "\n"
cre_book2.c | 131 | "Once in a while you may need to check on whether or not a player has"
cre_book2.c | 132 | " completed a certain quest.  This is accomplished with:\n"
cre_book2.c | 133 | "%^CYAN%^pquests <player>%^RESET%^.\n"
cre_book2.c | 134 | "This will list all of the player's current quest information.\n"
cre_book2.c | 135 | "In rare cases, a player may approach you to ask about a divorce.  "
cre_book2.c | 136 | "Most often this occurs when a player's MUD spouse is no longer active "
cre_book2.c | 137 | "on Discworld.  What this means is that it is impossible for them "
cre_book2.c | 138 | "to have a divorce granted via game channels.  To divorce a player:\n"
cre_book2.c | 139 | "%^CYAN%^call remove_property(\"
cre_book2.c | 139 | ") <player>\n"
cre_book2.c | 140 | "dest wedding ring in <player>%^RESET%^.\n"
cre_book2.c | 141 | "common"
cre_book2.c | 143 | "\n%^GREEN%^To reset a room or item\n"
cre_book2.c | 144 | "How to drop or move your Bulletin board\n"
cre_book2.c | 145 | "How to emote to other Creators%^RESET%^\n"
cre_book2.c | 146 | "\n"
cre_book2.c | 147 | "Sometimes, all you need to do to solve a player's problem is to "
cre_book2.c | 148 | "reset the room or item that seems to have a problem.  Use great care "
cre_book2.c | 149 | "when updating rooms, because this will clear out any items in the room "
cre_book2.c | 150 | "that don't belong there.  Update syntax is:\n"
cre_book2.c | 151 | "%^CYAN%^update <path> %^RESET%^(if you know the path to the item "
cre_book2.c | 152 | "or room.)\n"
cre_book2.c | 153 | "%^CYAN%^update <item> in <player> %^RESET%^(to update something in "
cre_book2.c | 154 | "the player's inv.)\n"
cre_book2.c | 155 | "%^CYAN%^update here %^RESET%^(to update the room you are in.)\n"
cre_book2.c | 156 | "If you've picked up your bulletin board, and would like to drop it, or "
cre_book2.c | 157 | "stow it in a pocket, or backpack, first use the call:\n"
cre_book2.c | 158 | "%^CYAN%^call set_drop() board%^RESET%^.\n"
cre_book2.c | 159 | "The command %^CYAN%^cre%^RESET%^ does a few things, depending on syntax:\n"
cre_book2.c | 160 | "%^CYAN%^cre <text>%^RESET%^ sends the text as a chat to all creators,\n"
cre_book2.c | 161 | "%^CYAN%^cre@ <text>%^RESET%^ sends the text as an emote to all creators,\n"
cre_book2.c | 162 | "%^CYAN%^cre?%^RESET%^ lists all the creators currently visible to you, "
cre_book2.c | 163 | "and online."
cre_book2.c | 164 | "common"
cre_book2.c | 166 | "\n%^GREEN%^Changing your appearance%^RESET%^ "
cre_book2.c | 167 | "\n"
cre_book2.c | 168 | "As a creator, there are a few things you can do to customize "
cre_book2.c | 169 | "how you appear to players.  Many of these are listed with the "
cre_book2.c | 170 | "%^CYAN%^review%^RESET%^ command.  Review will show you what messages are "
